Sri Lanka,India,Australia,West Indies,England,Bangladesh,Pakistan,South Africa
Dasun Shanaka (c),Virat Kohli (c),Aaron Finch (c),Kieron Pollard (c),Eoin Morgan (c),Mahmud Ullah (c),Babar Azam (c),Temba Bavuma (c)
Kusal Janith Perera (wk),Ishan Kishan (wk),Matthew Wade (wk),Andre Fletcher (wk),Jos Buttler (wk),Mushfiqur Rahim (wk),Mohammad Rizwan (wk),Quinton de Kock (wk)
Pathum Nissanka,Rohit Sharma,David Warner,Chris Gayle,Moeen Ali,Mohammad Naim Sheikh,Asif Ali,Reeza Hendricks
Charith Asalanka,KL Rahul,Adam Zampa,Shimron Hetmyer,Jonathan Bairstow,Soumya Sarkar,Shoaib Malik,Aiden Markram
Avishka Fernando,Suryakumar Yadav,Ashton Agar,Evin Lewis,Sam Billings,Liton Das,Fakhar Zaman,David Miller
Bhanuka Rajapaksa,Hardik Pandya,Pat Cummins,Ravi Rampaul,Tom Curran,Shakib Al Hasan,Shadab Khan,Rassie van der Dussen
Chamika Karunaratne,Ravindra Jadeja,Glenn Maxwell,Andre Russell,Chris Jordan,Afif Hossain,Imad Wasim,George Linde
Wanindu Hasaranga,Shardul Thakur,Kane Richardson,Oshane Thomas,Liam Livingstone,Nurul Hasan Sohan,Mohammad Hafeez,Bjorn Fortuin
Lahiru Kumara,Varun Chakravarthy,Steve Smith,Obed McCoy,Jason Roy,Shak Mahedi Hasan,Mohammad Nawaz,Lungi Ngidi
Maheesh Theekshana,Jasprit Bumrah,Mitchell Starc,Lendl Simmons,David Willey,Nasum Ahmed,Shah Afridi,Anrich Nortje
Binura Fernando,Bhuvneshwar Kumar,Mitchell Marsh,Dwayne Bravo,Mark Wood,Mustafizur Rahman,Hasan Ali,Lizaad Williams
